Name,Siblings and Spouses,female,Cabin Class 2,Cabin Class 3,Cherbourg,Queenstown,"Age (20, 28]","Age (28, 38]","Age (38, 80]",Mrs.,Miss,VIP,Survived,survival_prob
"Sagesser, Mlle. Emma",0,1,0,0,1,0,1,0,0,0,1,0,1,0.6059532236763681
"Eustis, Miss. Elizabeth Mussey",1,1,0,0,1,0,0,0,1,0,1,0,1,0.6081943674542554
"Taussig, Mr. Emil",1,0,0,0,0,0,0,0,1,0,0,0,0,0.3203307002163809
"Ryerson, Miss. Emily Borie",2,1,0,0,1,0,0,0,0,0,1,0,1,0.6063784203689697
"Sharp, Mr. Percival James R",0,0,1,0,0,0,1,0,0,0,0,0,0,0.35390012874713167
"Thayer, Mr. John Borland Jr",0,0,0,0,1,0,0,0,0,0,0,0,1,0.39247679883116754
"Abbott, Mrs. Stanton (Rosa Hunt)",1,1,0,1,0,0,0,1,0,1,0,0,1,0.502761478625944
"Graham, Mrs. William Thompson (Edith Junkins)",0,1,0,0,0,0,0,0,1,1,0,0,1,0.5606589568973603
"Porter, Mr. Walter Chamberlain",0,0,0,0,0,0,0,0,1,0,0,0,0,0.3208516826032793
"Ohman, Miss. Velin",0,1,0,1,0,0,1,0,0,0,1,0,1,0.46101636410323954
"Crease, Mr. Ernest James",0,0,0,1,0,0,0,0,0,0,0,0,0,0.2643466350031041
"Bateman, Rev. Robert James",0,0,1,0,0,0,0,0,1,0,0,1,0,0.3513867157002631
"Barton, Mr. David John",0,0,0,1,0,0,1,0,0,0,0,0,0,0.2630719601997797
"Mallet, Mr. Albert",1,0,1,0,1,0,0,1,0,0,0,0,0,0.44118407095487383
"Bourke, Mrs. John (Catherine)",1,1,0,1,0,1,0,1,0,1,0,0,0,0.5053741033137619
"Gronnestad, Mr. Daniel Danielsen",0,0,0,1,0,0,0,1,0,0,0,0,0,0.27284029941856086
"Ilett, Miss. Bertha",0,1,1,0,0,0,0,0,0,0,1,0,1,0.5691628661935755
"Lang, Mr. Fang",0,0,0,1,0,0,1,0,0,0,0,0,1,0.2630719601997797
"Newell, Miss. Marjorie",1,1,0,0,1,0,1,0,0,0,1,0,1,0.6053819593526529
"Silven, Miss. Lyyli Karoliina",0,1,1,0,0,0,0,0,0,0,1,0,1,0.5691628661935755
"Gilinski, Mr. Eliezer",0,0,0,1,0,0,1,0,0,0,0,0,0,0.2630719601997797
"Parrish, Mrs. (Lutie Davis)",0,1,1,0,0,0,0,0,1,1,0,0,1,0.5995391825385261
"Madill, Miss. Georgette Alexandra",0,1,0,0,0,0,0,0,0,0,1,0,1,0.5296471590955248
"Hickman, Mr. Leonard Mark",2,0,1,0,0,0,1,0,0,0,0,0,0,0.35280706253153665
"Mionoff, Mr. Stoytcho",0,0,0,1,0,0,1,0,0,0,0,0,0,0.2630719601997797
"Boulos, Miss. Nourelain",1,1,0,1,1,0,0,0,0,0,1,0,0,0.5414276622340873
"Ford, Mr. William Neal",1,0,0,1,0,0,0,0,0,0,0,0,0,0.2638817533188348
"Najib, Miss. Adele Kiamie ""Jane""",0,1,0,1,1,0,0,0,0,0,1,0,1,0.5420214693655868
"Adahl, Mr. Mauritz Nils Martin",0,0,0,1,0,0,0,1,0,0,0,0,0,0.27284029941856086
"Dodge, Master. Washington",0,0,0,0,0,0,0,0,0,0,0,0,1,0.31971473760461244
